epoch_ms,waiting,hikari_active,hikari_pending,process_cpu,system_cpu
17835869633N,0,0.0,0.0,0.06295575946562836,0.4389072187375367
17835869643N,0,0.0,0.0,0.006522362607549802,0.24609375
17835869643N,0,0.0,0.0,0.0026326392431922107,0.28628230616302186
17835869653N,0,0.0,0.0,0.0027422835096857197,0.3096646942800789
17835869663N,0,0.0,0.0,0.002762614334717685,0.29446640316205536
17835869663N,0,0.0,0.0,0.0025701687600132653,0.4
17835869673N,0,0.0,0.0,0.0022955109662545713,0.39766081871345027
17835869673N,0,0.0,0.0,0.0026155731251594014,0.44510978043912175
17835869683N,0,0.0,0.0,0.0020413310863175516,0.4
17835869693N,0,0.0,0.0,0.002597429692063757,0.5158102766798419
17835869693N,0,0.0,0.0,0.0025234893742948562,0.3699421965317919
17835869703N,0,0.0,0.0,0.002320244449797771,0.352
17835869713N,0,0.0,0.0,0.0025213699819640932,0.3235867446393762
17835869713N,0,0.0,0.0,0.001949070977506885,0.3445544554455445
17835869723N,0,0.0,0.0,0.0024556376832339465,0.2938856015779093
17835869733N,0,0.0,0.0,0.0018958116597877597,0.3237704918032787
17835869733N,0,0.0,0.0,0.0019752721795700534,0.5029940119760479
17835869743N,0,0.0,0.0,0.0027285167069176822,0.2584493041749503
17835869743N,0,0.0,0.0,0.0029241360776502577,0.30237154150197626
17835869753N,0,0.0,0.0,0.0023924471452726327,0.32335329341317365
17835869763N,0,0.0,0.0,0.0024979628108718526,0.2778904665314402
17835869763N,0,0.0,0.0,0.002183978889090787,0.29606625258799174
17835869773N,0,0.0,0.0,0.7526773412286312,0.9825581395348837
17835869783N,1,1.0,0.0,0.8148909871940347,0.9988751406074241
17835869793N,6,1.0,0.0,0.7890715069432755,0.9952305246422893
17835869803N,73,1.0,0.0,0.8086205806393024,0.9989406779661016
17835869813N,78,1.0,0.0,0.7881610159324454,1.0
17835869823N,41,0.0,0.0,0.8077108830895302,1.0
17835869833N,47,8.0,0.0,0.8088185339367495,0.9977528089887641
17835869843N,32,1.0,0.0,0.6648048903929213,1.0
17835869863N,0,10.0,0.0,0.7325258792567191,0.9992012779552716
17835869873N,0,25.0,0.0,0.8094913392748001,0.9976662777129521
17835869883N,0,40.0,31.0,0.7565838113189153,0.9909706546275395
17835869893N,0,40.0,31.0,0.6954451910085397,1.0
17835869903N,0,40.0,4.0,0.6959485762445008,1.0
17835869923N,0,40.0,4.0,0.6106498647810221,1.0
17835869923N,0,1.0,0.0,0.07374367313909562,0.9821138211382113
17835869933N,0,1.0,0.0,0.005891116325549998,0.5584415584415584
17835869943N,0,1.0,0.0,0.021400336189995012,0.46215139442231074
17835869943N,0,1.0,0.0,0.030952968139099073,0.5470941883767535
17835869953N,0,0.0,0.0,0.00268905864728536,0.45179584120982985
17835869963N,0,0.0,0.0,0.067189836495995,0.6470588235294118
17835869963N,0,0.0,0.0,0.008474691788083482,0.5343511450381679
17835869973N,0,0.0,0.0,0.009147851391528591,0.6726190476190477
17835869983N,0,0.0,0.0,0.015435579415867073,0.45610687022900764
17835869983N,0,0.0,0.0,0.002759360010451856,0.40551181102362205
17835869993N,0,0.0,0.0,0.0020916428504129895,0.3929273084479371
17835870003N,0,0.0,0.0,0.0029966370126882674,0.3359223300970874
17835870003N,0,0.0,0.0,0.002135466982455047,0.43222003929273084
17835870013N,0,0.0,0.0,0.002580100876478038,0.27920792079207923
17835870023N,0,0.0,0.0,0.002800522923864077,0.2124756335282651
17835870023N,0,0.0,0.0,0.0024408920856731405,0.2681992337164751
17835870033N,0,0.0,0.0,0.0024717220891261465,0.2372549019607843
17835870043N,0,0.0,0.0,0.002660818668005365,0.22504892367906065
17835870043N,0,0.0,0.0,0.002022102199732571,0.2421875
