epoch_ms,waiting,hikari_active,hikari_pending,process_cpu,system_cpu
1783588941943,0,0.0,0.0,0.0,0.0
1783588942628,0,0.0,0.0,0.0052429108032057406,0.5128676470588235
1783588943313,0,0.0,0.0,0.006195909684281777,0.7202797202797203
1783588944057,0,0.0,0.0,0.0029510917598512595,0.7966728280961183
1783588944712,0,0.0,0.0,0.003285841064573285,0.5262135922330097
1783588945378,0,0.0,0.0,0.04391725038409272,0.3142329020332717
1783588946038,0,0.0,0.0,0.0028518026565464896,0.19423076923076923
1783588946694,0,0.0,0.0,0.0022881055474254335,0.2994350282485876
1783588947390,0,0.0,0.0,0.0022743608998390015,0.30386740331491713
1783588948036,0,0.0,0.0,0.003197864197225282,0.26953125
1783588948677,0,0.0,0.0,0.002243248150691961,0.3108910891089109
1783588949319,0,0.0,0.0,0.0028695461908046886,0.2946768060836502
1783588949987,0,0.0,0.0,0.0018738694142954922,0.33204633204633205
1783588950627,0,0.0,0.0,0.0023627881201001137,0.3269961977186312
1783588951295,0,0.0,0.0,0.002688702382444462,0.2729044834307992
1783588952042,0,7.0,0.0,0.5081797872195994,0.8470483005366727
1783588954254,3,1.0,0.0,0.43715565487567015,1.0
1783588956441,71,1.0,0.0,0.5076184624914026,1.0
1783588958759,150,2.0,0.0,0.502351673464794,0.9994419642857143
1783588960595,127,0.0,0.0,0.5872346545531072,1.0
1783588962410,163,3.0,0.0,0.5780097976210442,0.9993819530284301
1783588964316,138,2.0,0.0,0.5776648695610875,1.0
1783588965391,96,2.0,0.0,0.8007532270303621,1.0
1783588966305,68,6.0,0.0,0.76545697854501,1.0
1783588967725,40,26.0,0.0,0.6944163643227311,0.999009900990099
1783588968633,5,17.0,0.0,0.6667951271104816,0.9977142857142857
1783588969778,5,40.0,76.0,0.5277767560988659,1.0
1783588972056,5,40.0,151.0,0.3748292214291793,1.0
1783588973616,5,40.0,52.0,0.29952707336765433,0.9992236024844721
1783588975187,5,34.0,0.0,0.5740592196514689,1.0
1783588976294,0,34.0,0.0,0.13660535488051936,0.9
1783588977254,0,1.0,0.0,0.13235073530954328,0.988173455978975
1783588978098,0,1.0,0.0,0.03325676842676923,0.9636075949367089
1783588978793,0,0.0,0.0,0.02707792887420288,0.6053130929791272
1783588979462,0,0.0,0.0,0.0023089433695213735,0.5117967332123412
1783588980173,0,0.0,0.0,0.03398680974296881,0.6276391554702495
