epoch_ms,waiting,hikari_active,hikari_pending,process_cpu,system_cpu
1783589781956,0,0.0,0.0,0.0016327216208043007,0.31930313588850173
1783589782629,0,0.0,0.0,0.0036568798242256374,0.24667931688804554
1783589783283,0,0.0,0.0,0.0032644951219661196,0.2173076923076923
1783589783940,0,0.0,0.0,0.00256948225520606,0.2514506769825919
1783589784589,0,0.0,0.0,0.002142742926200005,0.25775193798449614
1783589785236,0,0.0,0.0,0.0016818912928957285,0.20039292730844793
1783589785877,0,0.0,0.0,0.0019780874490293327,0.25338491295938104
1783589786523,0,0.0,0.0,0.0018594015580462712,0.2651072124756335
1783589787180,0,0.0,0.0,0.0018694379489595074,0.24615384615384617
1783589787826,0,0.0,0.0,0.0016601203654812303,0.43992248062015504
1783589788469,0,0.0,0.0,0.001960892371920606,0.5938697318007663
1783589789142,0,0.0,0.0,0.0014755208543909136,0.47378640776699027
1783589789806,0,0.0,0.0,0.001989143175657888,0.6439114391143912
1783589790461,0,0.0,0.0,0.0016928550642081408,0.5420743639921722
1783589791114,0,0.0,0.0,0.002004155390550976,0.5369649805447471
1783589791755,0,0.0,0.0,0.0016683379389003283,0.551923076923077
1783589792418,0,0.0,0.0,0.0016585061192899203,0.769811320754717
1783589793212,0,0.0,0.0,0.0023214576025696607,0.8672839506172839
1783589793912,0,0.0,0.0,0.0028172763718366323,0.7237762237762237
1783589794635,0,0.0,0.0,0.002527805523310747,0.7627986348122867
1783589795370,0,0.0,0.0,0.001723486962405041,0.6718480138169257
1783589796126,0,0.0,0.0,0.009733281860400797,0.8516129032258064
1783589797451,6,0.0,0.0,0.6515677751508939,0.9993891264508247
1783589799158,14,1.0,0.0,0.7300048077946593,1.0
1783589800370,43,1.0,0.0,0.757669545679135,1.0
1783589801077,91,2.0,0.0,0.7566042058186409,1.0
1783589802402,138,2.0,0.0,0.7125404040928438,1.0
1783589803559,151,5.0,0.0,0.6173359968723807,1.0
1783589804993,169,6.0,0.0,0.6253458848976574,1.0
1783589806625,148,2.0,0.0,0.6922894061404491,1.0
1783589807991,133,18.0,0.0,0.6998628265681539,1.0
1783589809570,119,23.0,0.0,0.7181952155313925,1.0
1783589810761,113,22.0,0.0,0.5967360602288544,1.0
1783589811916,98,39.0,14.0,0.6967238773909987,1.0
1783589813538,92,39.0,14.0,0.579725366112183,1.0
1783589814466,92,14.0,0.0,0.6190119338006935,0.9991503823279524
1783589816452,92,39.0,2.0,0.49967611904225057,1.0
1783589818931,92,33.0,0.0,0.5103148975730768,1.0
1783589820772,92,26.0,0.0,0.5402898135914436,1.0
1783589821882,92,19.0,0.0,0.4179057272488542,0.9964114832535885
1783589823008,92,9.0,0.0,0.6891601388296429,1.0
1783589824195,77,9.0,0.0,0.5294385272707595,1.0
1783589825134,68,2.0,0.0,0.6800589444759942,1.0
1783589825917,68,2.0,0.0,0.7110434534265783,1.0
1783589826659,68,15.0,0.0,0.5536641170470069,1.0
1783589827530,68,4.0,0.0,0.6762705475023363,1.0
1783589828743,53,4.0,0.0,0.483058670565049,0.9584717607973422
1783589829525,41,1.0,0.0,0.7104564444618174,1.0
1783589830366,41,1.0,0.0,0.5919232270199263,1.0
1783589831279,23,9.0,0.0,0.5445741776644619,0.9987146529562982
1783589832295,17,20.0,0.0,0.42542304282148957,0.9975389663658737
1783589833845,16,7.0,0.0,0.21329236682437727,0.9988864142538976
1783589834937,0,7.0,0.0,0.3059810156369877,0.932475884244373
1783589835645,0,0.0,0.0,0.2741683638832315,0.8905109489051095
1783589836325,0,0.0,0.0,0.0037249428812979046,0.7017543859649122
1783589837051,0,0.0,0.0,0.0045671601622740005,0.675
1783589837754,0,0.0,0.0,0.0021066308776730215,0.7113594040968343
1783589838413,0,0.0,0.0,0.001629654586470571,0.6155339805825243
1783589839063,0,0.0,0.0,0.0017350599332607974,0.6653992395437263
1783589839728,0,0.0,0.0,0.0019244753385669157,0.6640316205533597
1783589840358,0,0.0,0.0,0.0019343713215456933,0.32490272373540857
1783589841005,0,0.0,0.0,0.002051757546861294,0.32947976878612717
1783589841659,0,0.0,0.0,0.0020842851052971746,0.22350674373795762
1783589842306,0,0.0,0.0,0.0015999875849653932,0.251953125
1783589842963,0,0.0,0.0,0.0020274628179828276,0.22456813819577734
1783589843603,0,0.0,0.0,0.0016355238099672663,0.3111545988258317
1783589844259,0,0.0,0.0,0.0024957799432210543,0.2364341085271318
1783589844909,0,0.0,0.0,0.001830396434813869,0.2840466926070039
1783589845546,0,0.0,0.0,0.0018649508883883884,0.4246575342465753
1783589846196,0,0.0,0.0,0.002133449422914445,0.23563218390804597
1783589846855,0,0.0,0.0,0.0022185544836407296,0.2840909090909091
1783589847509,0,0.0,0.0,0.0018574263102701643,0.4846743295019157
1783589848180,0,0.0,0.0,0.002688382013573961,0.23255813953488372
1783589848817,0,0.0,0.0,0.002134267268986741,0.47674418604651164
