epoch_ms,waiting,hikari_active,hikari_pending,process_cpu,system_cpu
1783589665124,0,0.0,0.0,0.0,0.0
1783589665834,0,0.0,0.0,0.004514456991121959,0.27392120075046905
1783589666500,0,0.0,0.0,0.0024384999010963323,0.2937853107344633
1783589667169,0,0.0,0.0,0.0028369203305519896,0.4892086330935252
1783589667869,0,0.0,0.0,0.0024147817938109635,0.44036697247706424
1783589668549,0,0.0,0.0,0.002133521877127126,0.2757281553398058
1783589669198,0,0.0,0.0,0.0020516346791213647,0.29865125240847784
1783589669849,0,0.0,0.0,0.0021173920845502696,0.3481624758220503
1783589670496,0,0.0,0.0,0.0016327768318592072,0.3586337760910816
1783589671165,0,0.0,0.0,0.002251802661172842,0.2673076923076923
1783589671815,0,0.0,0.0,0.002470835720894026,0.3643410852713178
1783589672458,0,0.0,0.0,0.003687773900215091,0.692156862745098
1783589673109,0,0.0,0.0,0.003146838458238935,0.4584103512014787
1783589673787,0,0.0,0.0,0.0018905980078656227,0.3106796116504854
1783589674435,0,0.0,0.0,0.002194744587189498,0.27450980392156865
1783589675082,0,0.0,0.0,0.002112114082388089,0.2903846153846154
1783589675737,0,0.0,0.0,0.002286329609722468,0.29672447013487474
1783589676387,0,0.0,0.0,0.0019106539955385823,0.30409356725146197
1783589677037,0,0.0,0.0,0.0021121769161528145,0.2418426103646833
1783589677691,0,0.0,0.0,0.004146369173090475,0.31721470019342357
1783589678666,0,0.0,0.0,0.655798999884351,0.8817777777777778
1783589679858,0,0.0,0.0,0.7993832803992741,0.9988636363636364
1783589680983,52,0.0,0.0,0.7623424243689149,0.9986928104575163
1783589681997,186,0.0,0.0,0.7798767397029273,1.0
1783589683678,169,2.0,0.0,0.6369301879904637,0.9993792675356921
1783589685273,224,0.0,0.0,0.7123592065573648,0.9988331388564761
1783589686354,230,0.0,0.0,0.7563748489011327,1.0
1783589687946,209,0.0,0.0,0.7063262743392563,0.9987113402061856
1783589689125,191,7.0,0.0,0.7794339434938321,1.0
1783589690109,179,7.0,0.0,0.6492319264553608,0.9986320109439124
1783589690960,158,9.0,0.0,0.7168683704979268,0.9989888776541962
1783589692194,152,9.0,0.0,0.7400573681612445,1.0
1783589693140,152,5.0,0.0,0.6784271433786065,1.0
1783589693943,152,4.0,0.0,0.5882572993815578,1.0
1783589695115,147,6.0,0.0,0.7292805853755544,0.9991150442477876
1783589696479,134,18.0,0.0,0.5918457307403697,1.0
1783589697976,134,40.0,9.0,0.5842053029353558,1.0
1783589699463,134,7.0,0.0,0.623203044195649,1.0
1783589700830,134,9.0,0.0,0.6620087678831651,1.0
1783589701900,134,4.0,0.0,0.6906219826612158,1.0
1783589703129,129,1.0,0.0,0.5290971229003825,0.9983388704318937
1783589704842,119,1.0,0.0,0.6489644717041919,1.0
1783589705813,119,1.0,0.0,0.5926000513111521,0.9986486486486487
1783589706740,119,6.0,0.0,0.5764657909111308,1.0
1783589707900,119,3.0,0.0,0.6411324261703664,1.0
1783589709252,119,1.0,0.0,0.5395923673690629,0.999185667752443
1783589710881,119,1.0,0.0,0.637322864990685,1.0
1783589712932,119,1.0,0.0,0.45885118895590615,1.0
1783589714199,119,1.0,0.0,0.5687761669254218,1.0
1783589715651,110,2.0,0.0,0.6077772381134104,0.9771428571428571
1783589716976,89,0.0,0.0,0.705575802595232,1.0
1783589717985,65,3.0,0.0,0.609430581272415,0.9990867579908675
1783589719892,38,7.0,0.0,0.5473261217196398,0.9981412639405205
1783589720703,29,7.0,0.0,0.5253602230414687,1.0
1783589721622,8,4.0,0.0,0.707850018840071,0.9983792544570502
1783589722395,2,1.0,0.0,0.5736359486654382,1.0
1783589723353,0,1.0,0.0,0.4674895237549516,0.8541666666666666
1783589724008,0,0.0,0.0,0.028568594177709197,0.6127167630057804
1783589724653,0,0.0,0.0,0.0017486062613392488,0.6421663442940039
1783589725310,0,0.0,0.0,0.0021259914096766128,0.42015209125475284
1783589725967,0,0.0,0.0,0.002665736522486657,0.402321083172147
1783589726612,0,0.0,0.0,0.0018195140008504833,0.4118773946360153
1783589727270,0,0.0,0.0,0.0022272718094797288,0.4834307992202729
1783589727918,0,0.0,0.0,0.0025248145226607383,0.44083969465648853
1783589728589,0,0.0,0.0,0.00245154028061525,0.4981949458483754
1783589729328,0,0.0,0.0,0.002478549270453326,0.8825503355704698
1783589730014,0,0.0,0.0,0.002519158506773996,0.7293666026871402
1783589730671,0,0.0,0.0,0.001981306257802864,0.43263757115749524
